periodo,spec,valor_bi
2024Q2,spec03_uniao_estados_sal_ce,250.366719
2024Q2,spec13_uniao_estados_sal_ce_ci,283.202819
2024Q2,spec_uniao_sal_ce_ci,125.688473
2024Q2,spec_estados_sal_ce,157.514346
2024Q2,spec_rpps_ci_uniao,32.8361
2024Q3,spec01_uniao_sal_ce,83.903539
2024Q3,spec03_uniao_estados_sal_ce,241.397963
2024Q3,spec13_uniao_estados_sal_ce_ci,260.565157
2024Q3,spec_uniao_sal_ce_ci,103.070733
2024Q3,spec_estados_sal_ce,157.494424
2024Q3,spec_rpps_ci_uniao,19.167194
2024Q4,spec01_uniao_sal_ce,85.110306
2024Q4,spec03_uniao_estados_sal_ce,279.580919
2024Q4,spec13_uniao_estados_sal_ce_ci,313.127308
2024Q4,spec_uniao_sal_ce_ci,118.656695
2024Q4,spec_estados_sal_ce,194.470613
2024Q4,spec_rpps_ci_uniao,33.546389
